task,occupation,n_ratings,mean_rating,median_rating,max_rating,min_rating,p25_rating,p75_rating
Recruit and hire staff members.,First-Line Supervisors of Personal Service Workers,41,2.05,2.0,4,1,1.0,3.0
"Hire, train, and supervise food and beverage service staff.","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",41,2.02,2.0,4,1,1.0,3.0
"Perform personnel actions, such as hiring and firing staff, providing employee orientation and training, and conducting supervisory activities, such as creating work schedules or organizing employee time sheets.",First-Line Supervisors of Food Preparation and Serving Workers,41,2.02,2.0,5,1,1.0,3.0
"Record and maintain information on clients, vendors, and travel packages.",Travel Agents,41,2.02,2.0,4,1,1.0,3.0
"Recruit and hire staff, such as cooks and other kitchen workers.",Chefs and Head Cooks,41,2.02,2.0,4,1,1.0,3.0
"Provide assistance in balancing books, tracking, monitoring, or projecting a unit's budget needs, and in developing unit policies and procedures.","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",41,1.95,2.0,3,1,2.0,2.0
"Procure, produce, and provide information on the safe operation of aircraft, such as flight planning publications, operations publications, charts and maps, or weather information.",Airfield Operations Specialists,41,1.93,2.0,4,1,1.0,3.0
Evaluate and interpret seismic data with the aid of computers.,"Geological Technicians, Except Hydrologic Technicians",41,1.85,2.0,3,1,1.0,2.0
"Record in log books information, such as flight times, distances flown, and fuel consumption.","Airline Pilots, Copilots, and Flight Engineers",41,1.85,1.0,4,1,1.0,3.0
"Write specified information in flight records, such as flight times, altitudes flown, and fuel consumption.",Commercial Pilots,41,1.85,1.0,4,1,1.0,3.0
"Maintain flight and event logs, air crew flying records, and flight operations records of incoming and outgoing flights.",Airfield Operations Specialists,41,1.78,1.0,4,1,1.0,2.0
Verify integrity and accuracy of data contained in remote sensing image analysis systems.,Remote Sensing Technicians,41,1.78,2.0,4,1,1.0,2.0
"Plan movement of products through lines to processing, storage, and shipping units, using knowledge of interconnections and capacities of pipelines, valve manifolds, pumps, and tankage.","Pump Operators, Except Wellhead Pumpers",41,1.76,2.0,3,1,1.0,2.0
Plan and coordinate airfield construction.,Airfield Operations Specialists,41,1.73,2.0,3,1,1.0,2.0
Record vehicle routes.,Shuttle Drivers and Chauffeurs,41,1.73,1.0,5,1,1.0,2.0
"Manage funeral home operations, including the hiring, training, or supervision of embalmers, funeral attendants, or other staff.","Morticians, Undertakers, and Funeral Arrangers",41,1.71,2.0,4,1,1.0,2.0
Prepare and file annual tax returns or prepare financial information so that outside accountants can complete tax returns.,Treasurers and Controllers,41,1.71,1.0,5,1,1.0,2.0
Establish procedures for street closures or for repair or construction projects.,Traffic Technicians,41,1.68,2.0,3,1,1.0,2.0
"Develop, administer, and evaluate applicant tests.",Human Resources Managers,41,1.63,1.0,4,1,1.0,2.0
"Participate in the hiring, training, scheduling, or supervision of alteration workers.",Costume Attendants,41,1.63,2.0,3,1,1.0,2.0
"Recommend or execute personnel actions, such as hirings, evaluations, or promotions.",First-Line Supervisors of Production and Operating Workers,41,1.59,1.0,5,1,1.0,2.0
"Maintain records of daily activities, personnel reports, ship positions and movements, ports of call, weather and sea conditions, pollution control efforts, or cargo or passenger status.","Captains, Mates, and Pilots of Water Vessels",41,1.54,1.0,4,1,1.0,2.0
"Participate in the research, development, or manufacturing of medicinal and pharmaceutical preparations.",Biological Technicians,41,1.54,2.0,2,1,1.0,2.0
"Record data in ships' logs, such as weather conditions or distances traveled.",Sailors and Marine Oilers,41,1.54,1.0,4,1,1.0,2.0
"Log data, such as water levels and weather conditions.",Bridge and Lock Tenders,41,1.49,1.0,3,1,1.0,2.0
Complete daily activity reports and keep records of messages from aircraft.,Air Traffic Controllers,41,1.39,1.0,3,1,1.0,2.0
"Prepare and submit reports that may include the number of passengers or trips, hours worked, mileage driven fuel consumed, or fares received.",Shuttle Drivers and Chauffeurs,41,1.39,1.0,3,1,1.0,2.0
"Prepare and submit reports that may include the number of students or trips, hours worked, mileage, or fuel consumption.","Bus Drivers, School",41,1.34,1.0,3,1,1.0,2.0
"Record departure and arrival times, messages, tickets and revenue collected, and passenger accommodations and destinations.",Railroad Conductors and Yardmasters,41,1.34,1.0,3,1,1.0,2.0
"Write and submit reports that include data such as the number of passengers or trips, hours worked, mileage driven, or fuel consumed.",School Bus Monitors,41,1.34,1.0,3,1,1.0,2.0
"Record names, types, and destinations of vessels passing through bridge openings or locks, and numbers of trains or vehicles crossing bridges.",Bridge and Lock Tenders,41,1.32,1.0,4,1,1.0,1.0
"Prepare reports showing places of departure and destination, passenger ticket numbers, meal and beverage inventories, the conditions of cabin equipment, and any problems encountered by passengers.",Flight Attendants,41,1.29,1.0,2,1,1.0,2.0
Analyze data from research conducted to detect and measure physical phenomena.,Physicists,41,1.27,1.0,4,1,1.0,1.0
"Record orders for changes in ship speed or direction, and note gauge readings or test data, such as revolutions per minute or voltage output, in engineering logs or bellbooks.",Ship Engineers,41,1.24,1.0,3,1,1.0,1.0
"Start presses and pull proofs to check for ink coverage and density, alignment, and registration.",Printing Press Operators,41,1.24,1.0,2,1,1.0,1.0
Distribute incoming mail into the correct boxes or pigeonholes.,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",41,1.22,1.0,4,1,1.0,1.0
"Keep records of the contents and destination of each train car, and make sure that cars are added or removed at proper points on routes.",Railroad Conductors and Yardmasters,41,1.22,1.0,3,1,1.0,1.0
"Complete reports, including shift summaries and incident or accident reports.",Subway and Streetcar Operators,41,1.2,1.0,3,1,1.0,1.0
Recommend measures for improving work procedures and worker performance to increase service quality and enhance job safety.,First-Line Supervisors of Food Preparation and Serving Workers,41,1.17,1.0,2,1,1.0,1.0
Support efforts to reduce substance abuse or other illegal activities in the workplace.,Security Managers,41,1.07,1.0,2,1,1.0,1.0
Answer telephone calls from potential customers who have been solicited through advertisements.,Telemarketers,40,3.62,4.0,5,1,3.0,4.25
"Answer incoming calls, greeting callers, providing information, transferring calls or taking messages as necessary.","Switchboard Operators, Including Answering Service",40,3.6,4.0,5,1,3.0,4.0
"Develop or update project plans including information such as objectives, technologies, schedules, funding, and staffing.",Project Management Specialists,40,3.58,4.0,5,1,3.0,4.0
"Answer telephones and give information to callers, take messages, or transfer calls to appropriate individuals.","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",40,3.55,4.0,5,1,3.0,4.0
"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",Information Technology Project Managers,40,3.52,4.0,5,1,3.0,4.0
"Answer telephones, direct calls, and take messages.","Office Clerks, General",40,3.48,4.0,5,1,3.0,4.0
Answer phone calls and direct calls to appropriate parties or take messages.,Executive Secretaries and Executive Administrative Assistants,40,3.35,4.0,5,1,3.0,4.0
Answer telephones and direct calls to appropriate staff.,Medical Secretaries and Administrative Assistants,40,3.35,4.0,5,1,3.0,4.0
Receive and place telephone calls.,Legal Secretaries and Administrative Assistants,40,3.32,4.0,5,1,3.0,4.0
Answer incoming phone calls.,Cashiers,40,3.22,3.0,5,1,3.0,4.0
"Plan or adjust routes based on changing conditions, using computer equipment, global positioning systems (GPS) equipment, or other navigation devices, to minimize fuel consumption and carbon emissions.",Heavy and Tractor-Trailer Truck Drivers,40,3.18,4.0,5,1,2.0,4.0
"Develop or approve project plans, schedules, or budgets.",Computer Systems Engineers/Architects,40,3.15,3.0,5,1,3.0,4.0
"Answer telephone calls to take messages, answer questions, and provide information during non-business hours or when switchboard is closed.",Security Guards,40,3.05,3.0,4,1,3.0,4.0
Review reports of securities transactions or price lists to analyze market conditions.,Financial Managers,40,2.95,3.0,4,1,2.0,4.0
"Initiate, review, or approve modifications to project plans.",Information Technology Project Managers,40,2.88,3.0,5,1,2.0,3.25
"Propose, review, or approve modifications to project plans.",Project Management Specialists,40,2.88,3.0,5,1,2.0,3.25
"Answer routine inquiries, and refer calls not requiring dispatches to appropriate departments and agencies.",Public Safety Telecommunicators,40,2.72,3.0,4,1,2.0,3.0
"Receive incoming telephone or alarm system calls regarding emergency and non-emergency police and fire service, emergency ambulance service, information, and after-hours calls for departments within a city.",Public Safety Telecommunicators,40,2.68,3.0,5,1,2.0,3.0
"Perform administrative tasks, such as answering telephone calls, filing court documents, or maintaining office supplies or equipment.","Court, Municipal, and License Clerks",40,2.5,3.0,4,1,2.0,3.0
"Perform patient services, such as answering the telephone or assisting patients with financial or medical questions.","Interviewers, Except Eligibility and Loan",40,2.38,2.5,3,1,2.0,3.0
"Request information or assistance, using paging systems.",Cashiers,40,2.33,2.0,4,1,1.0,3.0
"Review existing or incoming data for currency, accuracy, usefulness, quality, or completeness of documentation.",Geographic Information Systems Technologists and Technicians,40,2.22,2.0,4,1,2.0,3.0
"Verify the structure, accuracy, or quality of warehouse data.",Data Warehousing Specialists,40,2.2,2.0,4,1,1.0,3.0
"Determine project plans, timelines, or technical objectives for statistical aspects of biological research studies.",Biostatisticians,40,2.17,2.0,4,1,2.0,3.0
"Prepare financial or regulatory reports required by laws, regulations, or boards of directors.",Financial Managers,40,2.17,2.0,4,1,1.0,3.0
Review collection reports to determine the status of collections and the amounts of outstanding balances.,Financial Managers,40,2.1,2.0,3,1,2.0,2.25
Review operational records and reports to project sales and determine profitability.,Sales Managers,40,2.1,2.0,3,1,2.0,2.25
"Identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.",Public Relations Managers,40,1.95,2.0,3,1,2.0,2.0
"Perform quality control audits to ensure accuracy, completeness, or proper usage of clinical systems and data.",Clinical Data Managers,40,1.9,2.0,4,1,1.0,2.0
"Evaluate sources of information to determine any limitations, in terms of reliability or usability.",Statisticians,40,1.85,2.0,4,1,1.0,2.0
"Communicate with forestry personnel regarding forest harvesting or forest management plans, procedures, or schedules.","First-Line Supervisors of Farming, Fishing, and Forestry Workers",40,1.7,2.0,3,1,1.0,2.0
"Communicate with accelerator maintenance personnel to ensure readiness of support systems, such as vacuum, water cooling, or radio frequency power sources.",Nuclear Technicians,40,1.65,2.0,3,1,1.0,2.0
"Fulfill all reporting requirements of all relevant government rules and regulations, including the Employee Retirement Income Security Act (ERISA).",Compensation and Benefits Managers,40,1.65,1.0,4,1,1.0,2.0
Perform quality control checks on data to be used by hydrologists.,Hydrologic Technicians,40,1.65,2.0,4,1,1.0,2.0
Greet visitors or callers and handle their inquiries or direct them to the appropriate persons according to their needs.,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",40,1.62,1.0,3,1,1.0,2.0
Review rents to ensure that they are in line with rental markets.,"Property, Real Estate, and Community Association Managers",40,1.6,2.0,3,1,1.0,2.0
"Confer with other workers to discuss issues, such as safety, cutting heights, or work needs.",Forest and Conservation Workers,40,1.58,2.0,3,1,1.0,2.0
"Conduct gambling games, such as dice, roulette, cards, or keno, following all applicable rules and regulations.",Gambling Dealers,40,1.52,1.0,4,1,1.0,1.0
"Conduct gambling tables or games, such as dice, roulette, cards, or keno, and ensure that game rules are followed.",Gambling and Sports Book Writers and Runners,40,1.52,1.0,4,1,1.0,1.0
Collaborate with other firefighters as a member of a firefighting crew.,Firefighters,40,1.4,1.0,2,1,1.0,2.0
Communicate with coworkers by signals to direct log movement.,Log Graders and Scalers,40,1.4,1.0,3,1,1.0,2.0
Treat minor injuries and ailments and contact veterinarians to obtain treatment for animals with serious illnesses or injuries.,Animal Breeders,40,1.38,1.0,2,1,1.0,2.0
"Encourage guests to dance using group dances, competitions, or other party games.","Disc Jockeys, Except Radio",40,1.27,1.0,3,1,1.0,1.25
"Lead party games, such as dance-offs or prize giveaways.","Disc Jockeys, Except Radio",40,1.27,1.0,3,1,1.0,1.25
"Apply rule variations to card games such as poker, in which players bet on the value of their hands.",Gambling Dealers,40,1.12,1.0,4,1,1.0,1.0
Check to ensure that all players have placed bets before play begins.,Gambling Dealers,40,1.12,1.0,4,1,1.0,1.0
Check to ensure that all players have placed their bets before play begins.,Gambling and Sports Book Writers and Runners,40,1.12,1.0,4,1,1.0,1.0
Compare the house hand with players' hands to determine the winner.,Gambling and Sports Book Writers and Runners,40,1.12,1.0,4,1,1.0,1.0
Stand behind a gaming table and deal the appropriate number of cards to each player.,Gambling Dealers,40,1.12,1.0,4,1,1.0,1.0
Participate in games for gambling establishments to provide the minimum complement of players at a table.,Gambling Dealers,40,1.1,1.0,4,1,1.0,1.0
"Work as part of a team of dealers in games, such as baccarat or craps.",Gambling Dealers,40,1.1,1.0,4,1,1.0,1.0
"Deal cards to house hands, and compare these with players' hands to determine winners, as in black jack.",Gambling Dealers,40,1.08,1.0,4,1,1.0,1.0
Collect cards or tickets from players.,Gambling and Sports Book Writers and Runners,40,1.02,1.0,2,1,1.0,1.0
Establish and maintain banks and table limits for each game.,First-Line Supervisors of Gambling Services Workers,40,1.0,1.0,1,1,1.0,1.0
Open and close cash floats and game tables.,Gambling Dealers,40,1.0,1.0,1,1,1.0,1.0
Open or close cash floats or game tables.,Gambling and Sports Book Writers and Runners,40,1.0,1.0,1,1,1.0,1.0
"Create and modify maps, graphs, or diagrams, using geographical information software and related equipment, and principles of cartography, such as coordinate systems, longitude, latitude, elevation, topography, and map scales.",Geographers,39,3.21,3.0,4,1,3.0,4.0
"Prepare, develop and maintain maps and databases.",Urban and Regional Planners,39,3.0,3.0,4,1,2.0,4.0
"Create, layer, and analyze maps showing precision agricultural data, such as crop yields, soil characteristics, input applications, terrain, drainage patterns, or field management history.",Precision Agriculture Technicians,39,2.95,3.0,4,1,3.0,3.0
"Read copy or proof to detect and correct errors in spelling, punctuation, and syntax.",Editors,39,2.72,3.0,5,1,2.0,3.0
"Draw or read maps, such as soil, contour, or plat maps.",Precision Agriculture Technicians,39,2.67,3.0,4,1,2.0,3.0
"Edit, standardize, or make changes to material prepared by other writers or establishment personnel.",Technical Writers,39,2.56,3.0,5,1,2.0,3.0
"Prepare, rewrite and edit copy to improve readability, or supervise others who do this work.",Editors,39,2.54,3.0,5,1,2.0,3.0
"Proofread, edit, and revise translated materials.",Interpreters and Translators,39,2.54,3.0,5,1,2.0,3.0
"Review written, audio, or video copy, and correct errors in content, grammar, or punctuation, following prescribed editorial style and formatting guidelines.","News Analysts, Reporters, and Journalists",39,2.54,3.0,5,1,2.0,3.0
"Edit or rewrite existing written material as necessary, and submit written material for approval by supervisor, editor, or publisher.",Writers and Authors,39,2.51,3.0,4,1,2.0,3.0
Write or contribute to instructions or manuals to guide end users.,Computer Programmers,39,2.49,3.0,4,1,2.0,3.0
"Create or revise user instructions, procedures, or manuals.",Computer Network Support Specialists,39,2.46,3.0,4,1,2.0,3.0
Prepare support documentation and training materials for end users of document management systems.,Document Management Specialists,39,2.44,3.0,4,1,2.0,3.0
"Revise written material to meet personal standards and to satisfy needs of clients, publishers, directors, or producers.",Writers and Authors,39,2.33,2.0,4,1,2.0,3.0
"Calculate amount of pollutant in samples or compute air pollution or gas flow in industrial processes, using chemical and mathematical formulas.","Environmental Science and Protection Technicians, Including Health",39,2.31,2.0,4,1,2.0,3.0
"Prepare geological maps, cross-sectional diagrams, charts, or reports concerning mineral extraction, land use, or resource management, using results of fieldwork or laboratory research.","Geoscientists, Except Hydrologists and Geographers",39,2.31,2.0,3,1,2.0,3.0
"Revise written material to meet personal standards and to satisfy needs of clients, publishers, directors, or producers.","Poets, Lyricists and Creative Writers",39,2.31,2.0,4,1,2.0,3.0
"Plot information from aerial photographs, well logs, section descriptions, or other databases.","Geological Technicians, Except Hydrologic Technicians",39,2.26,2.0,3,1,2.0,3.0
"Read, evaluate and edit manuscripts or other materials submitted for publication, and confer with authors regarding changes in content, style or organization, or publication.",Editors,39,2.21,2.0,4,1,2.0,3.0
Revise work to meet editorial approval or to fit time or space requirements.,"News Analysts, Reporters, and Journalists",39,2.15,2.0,4,1,2.0,2.5
"Review published materials and recommend revisions or changes in scope, format, content, and methods of reproduction and binding.",Technical Writers,39,2.08,2.0,3,1,2.0,2.0
"Analyze factors such as weather reports, fuel requirements, or maps to determine air routes.",Air Traffic Controllers,39,2.05,2.0,4,1,1.0,3.0
"Obtain and study information about clients' products, needs, problems, advertising history, and business practices to offer effective sales presentations and appropriate product assistance.",Advertising Sales Agents,39,2.0,2.0,3,1,2.0,2.0
"Choose routes, altitudes, and speeds that will provide the fastest, safest, and smoothest flights.","Airline Pilots, Copilots, and Flight Engineers",39,1.97,2.0,4,1,1.0,3.0
"Choose routes, altitudes, and speeds that will provide the fastest, safest, and smoothest flights.",Commercial Pilots,39,1.97,2.0,4,1,1.0,3.0
"Prepare notes, sketches, geological maps, or cross-sections.","Geological Technicians, Except Hydrologic Technicians",39,1.97,2.0,3,1,2.0,2.0
Learn about competitors' products or consumers' interests or concerns to answer questions or provide more complete information.,Demonstrators and Product Promoters,39,1.82,2.0,3,1,2.0,2.0
"Trim, align, and join prints to form photographic mosaics, maintaining scaled distances between reference points.",Surveying and Mapping Technicians,39,1.77,2.0,3,1,1.0,2.0
Review and approve proofs submitted by composing room prior to publication production.,Editors,39,1.74,2.0,3,1,1.0,2.0
"Design geological mine maps, monitor mine structural integrity, or advise and monitor mining crews.","Geoscientists, Except Hydrologists and Geographers",39,1.69,2.0,3,1,1.0,2.0
Contact outside health care providers and communicate with subjects to obtain follow-up information.,Clinical Research Coordinators,39,1.67,2.0,3,1,1.0,2.0
"Direct courses and speeds of ships, based on specialized knowledge of local winds, weather, water depths, tides, currents, and hazards.","Captains, Mates, and Pilots of Water Vessels",39,1.64,2.0,3,1,1.0,2.0
"Locate vendors of materials, equipment or supplies, and interview them to determine product availability and terms of sales.",Purchasing Managers,39,1.59,1.0,3,1,1.0,2.0
"Consider airport altitudes, outside temperatures, plane weights, and wind speeds and directions to calculate the speed needed to become airborne.",Commercial Pilots,39,1.54,1.0,4,1,1.0,2.0
"Read material to determine index items and arrange them alphabetically or topically, indicating page or chapter location.",Editors,39,1.51,1.0,3,1,1.0,2.0
"Review rough sketches, drawings, specifications, and other engineering data to ensure that they conform to design concepts.",Architectural and Civil Drafters,39,1.49,1.0,3,1,1.0,2.0
"Apply for federal funding for emergency-management-related needs, and administer and report on the progress of such grants.",Emergency Management Directors,39,1.46,1.0,3,1,1.0,2.0
Explain sociological research to the general public.,Sociologists,39,1.38,1.0,3,1,1.0,2.0
Make manuscript acceptance or revision recommendations to the publisher.,Editors,39,1.38,1.0,3,1,1.0,2.0
Adapt text to accommodate musical requirements of composers and singers.,"Poets, Lyricists and Creative Writers",39,1.18,1.0,2,1,1.0,1.0
Diagnose performance problems by reviewing reports or documentation from customers or field engineers or by inspecting malfunctioning or damaged products.,Aerospace Engineers,39,1.08,1.0,2,1,1.0,1.0
Plan mobile robot paths and teach path plans to robots.,Robotics Engineers,38,2.89,3.0,4,1,2.0,4.0
Review computer-processed digital images for quality.,Photographic Process Workers and Processing Machine Operators,38,2.87,3.0,5,1,2.0,4.0
Modify computer-controlled robot movements.,Robotics Technicians,38,2.84,3.0,4,1,2.25,3.0
Prepare and review operational reports or project progress reports.,Computer and Information Systems Managers,38,2.82,3.0,5,1,2.0,3.75
Debug robotics programs.,Robotics Engineers,38,2.79,3.0,4,1,2.0,4.0
Prepare and review operational reports and schedules to ensure accuracy and efficiency.,Administrative Services Managers,38,2.66,3.0,4,1,2.0,3.0
Prepare and review operational reports and schedules to ensure accuracy and efficiency.,Facilities Managers,38,2.66,3.0,4,1,2.0,3.0
Write algorithms or programming code for ad hoc robotic applications.,Robotics Engineers,38,2.61,3.0,4,1,2.0,3.0
"Develop robotic path motions to maximize efficiency, safety, and quality.",Robotics Technicians,38,2.58,3.0,4,1,2.0,3.0
"Program complex robotic systems, such as vision systems.",Robotics Technicians,38,2.53,3.0,4,1,2.0,3.0
Automate assays on laboratory robotics.,Robotics Engineers,38,2.5,3.0,4,1,2.0,3.0
"Train robots, using artificial intelligence software or interactive training techniques, to perform simple or complex tasks, such as designing and carrying out a series of iterative tests of chemical samples.",Robotics Technicians,38,2.42,2.5,4,1,2.0,3.0
"Examine developed prints for defects, such as broken lines, spots, or blurs.",Photographic Process Workers and Processing Machine Operators,38,2.34,2.0,5,1,2.0,3.0
"Examine drawings, negatives, or photographic prints to determine coloring, shading, accenting, or other changes required for retouching or restoration.",Photographic Process Workers and Processing Machine Operators,38,2.32,2.0,5,1,2.0,3.0
Examine photographic images for obvious imperfections prior to plate making.,Prepress Technicians and Workers,38,2.32,2.0,4,1,2.0,3.0
Prepare all materials for transactions or execution of deals.,Financial and Investment Analysts,38,2.29,2.0,4,1,2.0,3.0
Proofread and perform quality control of text and images.,Prepress Technicians and Workers,38,2.21,2.0,4,1,2.0,3.0
Evaluate new technologies and methods to make recommendations regarding their use.,Quality Control Analysts,38,2.13,2.0,3,1,2.0,3.0
"Install, program, or repair programmable controllers, robot controllers, end-of-arm tools, or conveyors.",Robotics Technicians,38,2.13,2.0,4,1,2.0,3.0
Recommend new remote sensing hardware or software acquisitions.,Remote Sensing Scientists and Technologists,38,2.11,2.0,3,1,2.0,3.0
Prepare written documents to establish contracts with or communicate financial recommendations to clients.,Credit Counselors,38,2.08,2.0,4,1,1.0,3.0
"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",Medical and Health Services Managers,38,2.05,2.0,4,1,1.0,2.0
"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",Marketing Managers,38,2.03,2.0,4,1,1.0,3.0
Prepare operational or risk reports for management analysis.,Financial Managers,38,1.92,2.0,4,1,1.0,2.0
"Produce reports regarding nonconformance of products or processes, daily production quality, root cause analyses, or quality trends.",Quality Control Systems Managers,38,1.92,2.0,4,1,1.0,2.0
"Complete loan applications, including credit analyses and summaries of loan requests, and submit to loan committees for approval.",Credit Analysts,38,1.89,2.0,3,1,1.0,3.0
"Analyze originals to evaluate color density, gradation highlights, middle tones, and shadows, using densitometers and knowledge of light and color.",Prepress Technicians and Workers,38,1.82,2.0,3,1,1.0,2.0
Prepare and submit detailed and summary reports of post office activities to designated supervisors.,Postmasters and Mail Superintendents,38,1.82,2.0,4,1,1.0,2.0
"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",Clinical Research Coordinators,38,1.82,2.0,4,1,1.0,2.0
Respond to requests for information about employers' activities or status.,Public Relations Managers,38,1.82,2.0,3,1,1.0,2.0
Prepare insurance forms to indicate repair cost estimates and recommendations.,"Insurance Appraisers, Auto Damage",38,1.76,2.0,4,1,1.0,2.0
"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",Chief Sustainability Officers,38,1.71,2.0,3,1,1.0,2.0
"Plan, supervise, and conduct psychological research and write papers describing research results.",Clinical and Counseling Psychologists,38,1.71,2.0,3,1,1.0,2.0
"Prepare reports or presentations to communicate brownfield redevelopment needs, status, or progress.",Brownfield Redevelopment Specialists and Site Managers,38,1.71,2.0,3,1,1.0,2.0
"Confer with suppliers to obtain bids for proposed purchases and to requisition supplies, disbursing funds according to federal regulations.",Postmasters and Mail Superintendents,38,1.68,2.0,3,1,1.0,2.0
Implement and maintain configuration control systems.,Special Effects Artists and Animators,38,1.66,2.0,3,1,1.0,2.0
"Examine quality of film fades or dissolves for potential color corrections, using color analyzers.",Photographic Process Workers and Processing Machine Operators,38,1.63,1.5,3,1,1.0,2.0
Provide responses to regulatory agencies regarding product information or issues.,Regulatory Affairs Managers,38,1.58,1.5,3,1,1.0,2.0
"Meet with suppliers to discuss performance metrics, to provide performance feedback, or to discuss production forecasts or changes.",Supply Chain Managers,38,1.55,1.0,3,1,1.0,2.0
Advise farmers on upgrading Global Positioning System (GPS) equipment to take advantage of newly installed advanced satellite technology.,Precision Agriculture Technicians,38,1.53,1.5,3,1,1.0,2.0
Prepare for and respond to regulatory inquiries.,Investment Fund Managers,38,1.5,1.0,3,1,1.0,2.0
Recommend materials for reliable performance in various environments.,Materials Scientists,38,1.5,1.0,3,1,1.0,2.0
Provide advice on the development or application of better boom-spray technology to limit the overapplication of chemicals and to reduce the migration of chemicals beyond the fields being treated.,Precision Agriculture Technicians,38,1.47,1.0,3,1,1.0,2.0
"Sort, assemble, and proof completed work.","Office Machine Operators, Except Computer",38,1.47,1.0,3,1,1.0,2.0
"Print proofs or examine designs to verify accuracy of engraving, and rework engraving as required.",Etchers and Engravers,38,1.26,1.0,2,1,1.0,1.75
Collect and inspect random samples during print runs to identify any necessary adjustments.,Printing Press Operators,38,1.24,1.0,2,1,1.0,1.0
"Direct and participate in formal and informal meetings with bank directors, trustees, senior management, counsels, outside accountants, and consultants to gather information and discuss findings.",Financial Examiners,38,1.21,1.0,3,1,1.0,1.0
Document route of specimens from collection to laboratory analysis and diagnosis.,Phlebotomists,38,1.21,1.0,2,1,1.0,1.0
"Examine stitched, collated, bound, or unbound product samples for defects, such as imperfect bindings, ink spots, torn pages, loose pages, or loose or uncut threads.",Print Binding and Finishing Workers,38,1.21,1.0,3,1,1.0,1.0
"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",Chief Executives,38,1.16,1.0,2,1,1.0,1.0
"Examine sketches, sample articles, and design specifications to determine quantities, shapes, and sizes of pattern parts, and to determine the amount of material or fabric required to make a product.",Fabric and Apparel Patternmakers,38,1.11,1.0,2,1,1.0,1.0
Assess logs after cutting to ensure that the quality and length are correct.,Fallers,38,1.03,1.0,2,1,1.0,1.0
"Evaluate log characteristics and determine grades, using established criteria.",Log Graders and Scalers,38,1.03,1.0,2,1,1.0,1.0
"Grade logs according to characteristics such as knot size and straightness, and according to established industry or company standards.",Logging Equipment Operators,38,1.03,1.0,2,1,1.0,1.0
"Identify logs of substandard or special grade so that they can be returned to shippers, regraded, recut, or transferred for other processing.",Log Graders and Scalers,38,1.03,1.0,2,1,1.0,1.0
Listen to music before playing at events to ensure recordings are appropriate and meet quality standards.,"Disc Jockeys, Except Radio",38,1.03,1.0,2,1,1.0,1.0
"Jab logs with metal ends of scale sticks, and inspect logs to ascertain characteristics or defects such as water damage, splits, knots, broken ends, rotten areas, twists, and curves.",Log Graders and Scalers,38,1.0,1.0,1,1,1.0,1.0
"Produce drawings, using computer-assisted drafting systems (CAD) or drafting machines, or by hand, using compasses, dividers, protractors, triangles, and other drafting devices.",Architectural and Civil Drafters,37,2.95,3.0,5,1,2.0,4.0
"Draft plans and detailed drawings for structures, installations, and construction projects, such as highways, sewage disposal systems, and dikes, working from sketches or notes.",Architectural and Civil Drafters,37,2.89,3.0,5,1,2.0,4.0
"Answer inquiries pertaining to hotel services, guest registration, and travel directions, or make recommendations regarding shopping, dining, or entertainment.","Hotel, Motel, and Resort Desk Clerks",37,2.86,3.0,4,1,2.0,4.0
Draft detailed dimensional drawings and design layouts for projects to ensure conformance to specifications.,Civil Engineering Technologists and Technicians,37,2.73,3.0,5,1,2.0,3.0
"Confer with customers by telephone or in person to provide information about products or services, take or enter orders, cancel accounts, or obtain details of complaints.",Customer Service Representatives,37,2.7,3.0,5,1,2.0,3.0
"Plan and design transportation or hydraulic systems or structures, using computer-assisted design or drawing tools.",Civil Engineers,37,2.54,3.0,5,1,2.0,3.0
"Provide information about establishment, such as location of departments or offices, employees within the organization, or services provided.",Receptionists and Information Clerks,37,2.54,2.0,5,1,2.0,4.0
Answer customers' questions about merchandise and advise customers on merchandise selection.,Stockers and Order Fillers,37,2.43,2.0,4,1,2.0,3.0
Recommend merchandise or services that will meet customers' needs.,Order Clerks,37,2.43,2.0,4,1,2.0,3.0
"Communicate research findings on various types of diseases to health practitioners, policy makers, and the public.",Epidemiologists,37,2.38,2.0,4,1,2.0,3.0
"Answer customers' questions and explain available services, such as deposit accounts, bonds, and securities.",New Accounts Clerks,37,2.35,2.0,4,1,1.0,3.0
Confer with customers to determine their service requirements and travel preferences.,Reservation and Transportation Ticket Agents and Travel Clerks,37,2.32,2.0,4,1,2.0,3.0
